LID	Language	Stock	HOST.CAT	Category	Position.binned5	SLOTS	SLOTS.USED	PARTITION	ENTROPY	PROB	CLUST.INDEX
1691	Juang	Austroasiatic	V	S	prae	3	3	[5, 2, 1]	1.2987949407	0.153635116598	0.704160951075
54	Choctaw	Muskogean	V	S	prae	4	3	[4, 3, 1]	1.40563906223	0.1025390625	0.802368164062
2980	Koyi	Sino-Tibetan	V	S	post	4	3	[5, 2, 1]	1.2987949407	0.0615234375	0.904907226562
54	Choctaw	Muskogean	V	P	prae	4	2	[4, 4]	1.0	0.00640869140625	0.976684570312
1413	Chai	Surmic	V	S	post	5	3	[4, 3, 1]	1.40563906223	0.043008	0.9203712
1413	Chai	Surmic	V	Atr	post	5	3	[4, 3, 1]	1.40563906223	0.043008	0.9203712
1439	Dumi	Sino-Tibetan	V	S	prae	5	3	[5, 2, 1]	1.2987949407	0.0258048	0.9633792
1136	Chontal Maya	Mayan	V	S	post	5	3	[3, 3, 2]	1.56127812446	0.043008	0.827904
2999	Old Thulung (Mukli)	Sino-Tibetan	V	Atr	post	6	5	[4, 1, 1, 1, 1]	2.0	0.0300068587106	0.534122085048
1036	Blackfoot	Algic	V	S	post	7	5	[2, 2, 2, 1, 1]	2.25	0.18359697065	0.25703575891
2244	Ojibwa (Eastern)	Algic	V	S	post	7	5	[2, 2, 2, 1, 1]	2.25	0.18359697065	0.25703575891
3010	Lohorung	Sino-Tibetan	V	Atr	post	7	4	[3, 2, 2, 1]	1.90563906223	0.122397980433	0.731327933089
2863	Puma	Sino-Tibetan	V	S	post	8	4	[3, 2, 2, 1]	1.90563906223	0.084114074707	0.820412635803
2668	Munsee	Algic	V	S	prae	8	4	[2, 2, 2, 2]	2.0	0.0105142593384	0.781860351562
2873	Bantawa	Sino-Tibetan	V	P	post	10	5	[3, 2, 1, 1, 1]	2.15563906223	0.169344	0.716688
2028	Manambu	Sepik	V	S	post	1	1	[9]	0.0	1.0	0.0
2028	Manambu	Sepik	V	T	post	1	1	[9]	0.0	1.0	0.0
2028	Manambu	Sepik	V	P	post	1	1	[9]	0.0	1.0	0.0
2028	Manambu	Sepik	V	G	post	1	1	[9]	0.0	1.0	0.0
2476	Sirionó	Tupian	V	S	prae	1	1	[9]	0.0	1.0	0.0
2476	Sirionó	Tupian	V	Atr	prae	1	1	[9]	0.0	1.0	0.0
1704	Kamaiurá	Tupian	V	Atr	prae	1	1	[9]	0.0	1.0	0.0
340	Russian	Indo-European	V	Atr	post	2	1	[9]	0.0	0.00390625	0.99609375
2172	Nganasan	Uralic	V	S	post	2	1	[9]	0.0	0.00390625	0.99609375
340	Russian	Indo-European	V	Aditr	post	2	1	[9]	0.0	0.00390625	0.99609375
340	Russian	Indo-European	V	S	post	2	1	[9]	0.0	0.00390625	0.99609375
2172	Nganasan	Uralic	V	Atr	post	2	1	[9]	0.0	0.00390625	0.99609375
2998	Jero	Sino-Tibetan	V	Atr	post	3	3	[5, 3, 1]	1.35164411515	0.153635116598	0.680688919372
299	Nandi	Nilotic	V	S	prae	3	2	[5, 4]	0.991076059838	0.0384087791495	0.911141594269
299	Nandi	Nilotic	V	Atr	prae	3	2	[5, 4]	0.991076059838	0.0384087791495	0.911141594269
1645	Anamuxra	Madang	V	G	prae	4	1	[9]	0.0	1.52587890625e-05	0.999984741211
1645	Anamuxra	Madang	V	S	post	4	1	[9]	0.0	1.52587890625e-05	0.999984741211
1645	Anamuxra	Madang	V	Atr	post	4	1	[9]	0.0	1.52587890625e-05	0.999984741211
1645	Anamuxra	Madang	V	Aditr	post	4	1	[9]	0.0	1.52587890625e-05	0.999984741211
1645	Anamuxra	Madang	V	P	prae	4	1	[9]	0.0	1.52587890625e-05	0.999984741211
1439	Dumi	Sino-Tibetan	V	P	post	5	3	[6, 2, 1]	1.22439444541	0.00774144	0.98853888
1439	Dumi	Sino-Tibetan	V	Atr	post	5	3	[6, 2, 1]	1.22439444541	0.00774144	0.98853888
632	Hayu	Sino-Tibetan	V	P	post	5	5	[3, 2, 2, 1, 1]	2.19715972342	0.2322432	0.0580608
667	Thulung (Mukli)	Sino-Tibetan	V	Atr	post	6	5	[4, 2, 1, 1, 1]	2.05881389033	0.0900205761317	0.586634087791
2999	Old Thulung (Mukli)	Sino-Tibetan	V	P	post	6	5	[3, 3, 1, 1, 1]	2.11328333429	0.0600137174211	0.52662037037
2360	Camling	Sino-Tibetan	V	P	post	6	6	[4, 1, 1, 1, 1, 1]	2.28103611255	0.00900205761317	0.247556584362
1142	Cheyenne	Algic	V	S	prae	7	3	[3, 3, 3]	1.58496250072	0.00145711881468	0.982243792977
1036	Blackfoot	Algic	V	Atr	prae	7	6	[2, 2, 2, 1, 1, 1]	2.50325833478	0.157368831986	0.0577019050614
3010	Lohorung	Sino-Tibetan	V	S	post	7	4	[3, 3, 2, 1]	1.89106111207	0.0524562773286	0.84061184419
908	Athpare	Sino-Tibetan	V	P	post	10	7	[3, 1, 1, 1, 1, 1, 1]	2.64160416787	0.0508032	0.2975616
908	Athpare	Sino-Tibetan	V	Atr	post	10	6	[2, 2, 2, 1, 1, 1]	2.50325833478	0.190512	0.3483648
2873	Bantawa	Sino-Tibetan	V	Atr	prae	10	4	[4, 2, 2, 1]	1.83659166811	0.0095256	0.97768944
1973	Menomini	Algic	V	S	post	11	5	[2, 2, 2, 2, 1]	2.28103611255	0.0222188135046	0.79141297626
563	Passamaquoddy	Algic	V	S	post	12	5	[3, 2, 2, 1, 1]	2.19715972342	0.0696252893519	0.870702924061
674	Limbu	Sino-Tibetan	V	S	prae	12	6	[3, 2, 1, 1, 1, 1]	2.41938194565	0.162459008488	0.674591692387
674	Limbu	Sino-Tibetan	V	Atr	prae	12	7	[2, 2, 1, 1, 1, 1, 1]	2.725480557	0.292426215278	0.154722865226
35	Belhare	Sino-Tibetan	V	P	post	12	7	[2, 2, 1, 1, 1, 1, 1]	2.725480557	0.292426215278	0.154722865226
35	Belhare	Sino-Tibetan	V	Atr	post	12	6	[2, 2, 2, 1, 1, 1]	2.50325833478	0.162459008488	0.512132683899
2862	Chintang	Sino-Tibetan	V	P	post	13	5	[3, 2, 2, 1, 1]	2.19715972342	0.0550505195452	0.899464322124
2862	Chintang	Sino-Tibetan	V	Atr	post	13	6	[3, 2, 1, 1, 1, 1]	2.41938194565	0.146801385454	0.724220168239
1750	Kharia	Austroasiatic	V	Atr	post	2	1	[10]	0.0	0.001953125	0.998046875
1750	Kharia	Austroasiatic	V	S	post	2	1	[10]	0.0	0.001953125	0.998046875
1750	Kharia	Austroasiatic	V	Aditr	post	2	1	[10]	0.0	0.001953125	0.998046875
2956	Kõic	Sino-Tibetan	V	P	post	3	3	[5, 4, 1]	1.36096404744	0.128029263832	0.693491845755
2980	Koyi	Sino-Tibetan	V	Atr	post	4	4	[5, 3, 1, 1]	1.68547529723	0.0576782226562	0.691337585449
923	Arapaho	Algic	V	S	post	5	2	[9, 1]	0.468995593589	2.048e-05	0.999979008
1775	Kulung	Sino-Tibetan	V	P	post	5	4	[4, 4, 1, 1]	1.72192809489	0.0193536	0.87435264
667	Thulung (Mukli)	Sino-Tibetan	V	P	post	6	5	[4, 3, 1, 1, 1]	2.04643934467	0.0500114311843	0.695659007773
559	Murle	Surmic	V	Atr	post	6	3	[6, 3, 1]	1.29546184424	0.00166704770614	0.997275567749
559	Murle	Surmic	V	S	post	6	3	[6, 3, 1]	1.29546184424	0.00166704770614	0.997275567749
1036	Blackfoot	Algic	V	P	post	7	6	[2, 2, 2, 2, 1, 1]	2.52192809489	0.0843047314209	0.104912554657
2551	Atikamekw	Algic	V	S	post	7	5	[3, 2, 2, 2, 1]	2.24643934467	0.112406308561	0.516132300144
2863	Puma	Sino-Tibetan	V	P	post	8	6	[4, 2, 1, 1, 1, 1]	2.32192809489	0.0591427087784	0.613676011562
2668	Munsee	Algic	V	Atr	post	8	5	[3, 2, 2, 2, 1]	2.24643934467	0.0788569450378	0.678732991219
2863	Puma	Sino-Tibetan	V	Atr	prae	8	5	[4, 3, 1, 1, 1]	2.04643934467	0.0262856483459	0.900321006775
637	Yamphu	Sino-Tibetan	V	Atr	post	9	6	[3, 2, 2, 1, 1, 1]	2.44643934467	0.218553231964	0.470669995979
674	Limbu	Sino-Tibetan	V	P	post	12	7	[4, 1, 1, 1, 1, 1, 1]	2.52192809489	0.0135382507073	0.669176392104
57	Chuvash	Turkic	V	Atr	post	2	2	[6, 5]	0.994030211477	0.451171875	0.0
456	Persian	Indo-European	V	Aditr	NA	2	2	[6, 5]	0.994030211477	0.451171875	0.0
679	Udmurt	Uralic	V	Atr	post	2	2	[6, 5]	0.994030211477	0.451171875	0.0
679	Udmurt	Uralic	V	S	post	2	2	[6, 5]	0.994030211477	0.451171875	0.0
518	Brahui	Dravidian	V	Aditr	post	2	2	[6, 5]	0.994030211477	0.451171875	0.0
456	Persian	Indo-European	V	S	NA	2	2	[6, 5]	0.994030211477	0.451171875	0.0
456	Persian	Indo-European	V	Atr	NA	2	2	[6, 5]	0.994030211477	0.451171875	0.0
518	Brahui	Dravidian	V	Atr	post	2	2	[6, 5]	0.994030211477	0.451171875	0.0
57	Chuvash	Turkic	V	S	post	2	2	[6, 5]	0.994030211477	0.451171875	0.0
518	Brahui	Dravidian	V	S	post	2	2	[6, 5]	0.994030211477	0.451171875	0.0
1105	Chortí	Mayan	V	S	prae	3	3	[5, 5, 1]	1.34858789601	0.046944063405	0.743281003912
1414	Tirmaga	Surmic	V	Atr	post	5	3	[7, 3, 1]	1.24067053168	0.001622016	0.9972830208
1414	Tirmaga	Surmic	V	S	post	5	3	[7, 3, 1]	1.24067053168	0.001622016	0.9972830208
2001	Micmac	Algic	V	S	post	5	4	[6, 3, 1, 1]	1.61718957259	0.011354112	0.947933184
3007	Bahing	Sino-Tibetan	V	S	post	6	3	[9, 1, 1]	0.865856617457	1.81919888567e-05	0.999962689885
3007	Bahing	Sino-Tibetan	V	P	post	6	5	[5, 2, 2, 1, 1]	2.04037339369	0.041259430727	0.76498040822
3010	Lohorung	Sino-Tibetan	V	P	post	7	6	[3, 3, 2, 1, 1, 1]	2.41308843643	0.117758989921	0.365052868756
59	Cree (Plains)	Algic	V	S	post	8	5	[5, 2, 2, 1, 1]	2.04037339369	0.0162642449141	0.938489958644
637	Yamphu	Sino-Tibetan	V	P	post	9	7	[3, 2, 2, 1, 1, 1, 1]	2.6635327548	0.200340462634	0.250902579394
2865	Wambule	Sino-Tibetan	V	P	post	3	3	[9, 2, 1]	1.04085208297	0.00745143863571	0.968687022642
54	Choctaw	Muskogean	V	Atr	prae	4	4	[4, 4, 3, 1]	1.85538854221	0.0991344451904	0.413610935211
2980	Koyi	Sino-Tibetan	V	P	post	4	3	[6, 5, 1]	1.32501121082	0.00793075561523	0.978630065918
2001	Micmac	Algic	V	P	post	5	4	[5, 3, 3, 1]	1.82501121082	0.0272498688	0.8500445184
682	Yucatec	Mayan	V	P	post	5	2	[6, 6]	1.0	3.784704e-05	0.99981606912
3044	Gurage (Sebat Bet)	Semitic	V	Aditr	post	5	3	[6, 3, 3]	1.5	0.0022708224	0.98523144192
3007	Bahing	Sino-Tibetan	V	Atr	post	6	4	[9, 1, 1, 1]	1.20751874964	3.63839777134e-05	0.999786227593
1660	Itzaj	Mayan	V	P	post	7	2	[6, 6]	1.0	1.40189273716e-06	0.999992786726
2551	Atikamekw	Algic	V	Atr	post	7	6	[3, 2, 2, 2, 2, 1]	2.52205520887	0.0757022078065	0.225844919956
1660	Itzaj	Mayan	V	S	post	7	3	[7, 4, 1]	1.28067212952	6.00811173068e-05	0.999856769752
1973	Menomini	Algic	V	P	post	11	7	[3, 2, 2, 2, 1, 1, 1]	2.68872187554	0.146901246312	0.532656923828
2657	Udihe	Tungusic	V	S	post	2	2	[7, 6]	0.995727452085	0.4189453125	0.0
2657	Udihe	Tungusic	V	Aditr	post	2	2	[7, 6]	0.995727452085	0.4189453125	0.0
2657	Udihe	Tungusic	V	Atr	post	2	2	[7, 6]	0.995727452085	0.4189453125	0.0
642	Arabic (Egyptian)	Semitic	V	Atr	prae	3	3	[6, 5, 2]	1.46048468131	0.13561618317	0.531163384082
642	Arabic (Egyptian)	Semitic	V	S	post	3	3	[6, 5, 2]	1.46048468131	0.13561618317	0.531163384082
682	Yucatec	Mayan	V	S	post	5	3	[7, 4, 2]	1.41955629857	0.00126517248	0.996175724544
21	Amharic	Semitic	V	Atr	post	5	3	[6, 5, 2]	1.46048468131	0.001771241472	0.993561034752
21	Amharic	Semitic	V	S	prae	5	3	[6, 5, 2]	1.46048468131	0.001771241472	0.993561034752
3044	Gurage (Sebat Bet)	Semitic	V	S	post	5	3	[6, 4, 3]	1.52623490995	0.00295206912	0.989273505792
3044	Gurage (Sebat Bet)	Semitic	V	Atr	post	5	3	[6, 4, 3]	1.52623490995	0.00295206912	0.989273505792
2001	Micmac	Algic	V	Atr	post	5	5	[7, 3, 1, 1, 1]	1.82302649071	0.00337379328	0.919878795264
1142	Cheyenne	Algic	V	Atr	post	7	7	[3, 3, 2, 2, 1, 1, 1]	2.66122625627	0.0937265429986	0.0773243979738
2244	Ojibwa (Eastern)	Algic	V	Atr	post	7	5	[4, 3, 2, 2, 2]	2.25775606413	0.0234316357496	0.779127923826
2244	Ojibwa (Eastern)	Algic	V	P	post	7	5	[4, 3, 2, 2, 2]	2.25775606413	0.0234316357496	0.779127923826
2551	Atikamekw	Algic	V	P	post	7	7	[3, 2, 2, 2, 2, 1, 1]	2.71929452567	0.0702949072489	0.00702949072489
59	Cree (Plains)	Algic	V	P	post	8	4	[5, 4, 2, 2]	1.8843135278	0.000825918687042	0.993613392056
2668	Munsee	Algic	V	P	post	8	5	[3, 3, 3, 2, 2]	2.29546567918	0.00734149944037	0.860659711179
59	Cree (Plains)	Algic	V	Atr	prae	8	5	[5, 3, 2, 2, 1]	2.13393756609	0.0132146989927	0.952064875164
563	Passamaquoddy	Algic	V	Atr	post	12	6	[3, 3, 3, 2, 1, 1]	2.44931183303	0.00746901948744	0.948074411124
563	Passamaquoddy	Algic	V	P	post	12	6	[3, 3, 3, 2, 1, 1]	2.44931183303	0.00746901948744	0.948074411124
2865	Wambule	Sino-Tibetan	V	Atr	post	3	3	[10, 2, 2]	1.14883485428	0.00376711619916	0.979450211783
2956	Kõic	Sino-Tibetan	V	S	post	3	3	[9, 3, 2]	1.28705402812	0.0251141079944	0.919176352596
1973	Menomini	Algic	V	Atr	post	11	7	[3, 3, 2, 2, 2, 1, 1]	2.69951385032	0.0552397248527	0.719742926095
923	Arapaho	Algic	V	Atr	post	5	4	[8, 3, 2, 1]	1.61057724333	0.003542482944	0.984416649216
2029	Moghol	Mongolic	V	Atr	post	2	2	[8, 7]	0.996791631982	0.392761230469	0.0
2029	Moghol	Mongolic	V	S	post	2	2	[8, 7]	0.996791631982	0.392761230469	0.0
2956	Kõic	Sino-Tibetan	V	Atr	post	3	3	[9, 4, 2]	1.33826892808	0.031392634993	0.896155086934
923	Arapaho	Algic	V	P	post	5	4	[8, 4, 2, 1]	1.64022392894	0.002656862208	0.98919900119
1142	Cheyenne	Algic	V	P	prae	7	7	[3, 3, 3, 2, 2, 1, 1]	2.68924642851	0.0669475307133	0.0702949072489
